Unnamed: 0,OOB,UOB,VFC-SMOTE,ROSE,KUE,LB,ARF,ARFR,CALMID,LEPID
200,0,0.454124992,0,0,0,0,0,0.335267612,0,0.680826985
400,0,0.447427758,0,0.172672436,0,0,0,0.338336016,0,0.65231749
600,0,0.515816377,0,0.165737907,0,0.163799386,0,0.42743555,0,0.648118565
800,0,0.479284586,0,0,0,0,0,0.305189403,0,0.636523567
1000,0,0.529228009,0,0.167553829,0,0,0,0.391896488,0,0.598691051
1200,0,0.639509761,0.222232943,0.319537877,0,0,0,0.294222399,0,0.583909335
1400,0,0.522203988,0,0.272712139,0,0,0,0.358573796,0,0.570385491
1600,0,0.408013057,0.225332576,0.223477955,0,0,0,0.356865676,0,0.570281516
1800,0,0.570610114,0.260108231,0.180229599,0,0,0,0.341849188,0,0.557737448
2000,0,0.363414216,0,0.224097867,0,0,0,0.427927704,0,0.54649871
2200,0,0.509152119,0,0.386549714,0,0,0,0.383432326,0,0.557814466
2400,0,0.47208947,0,0.214671339,0,0,0,0.3524087,0,0.553402257
2600,0.306575322,0.590637582,0,0.184966366,0,0,0,0.304688686,0,0.54984215
2800,0.40670322,0.631460504,0,0.199243073,0,0.19979576,0.19979576,0.319203737,0,0.548552512
3000,0.447427758,0.508159292,0,0.302616933,0,0,0,0.369669599,0,0.544351584
3200,0.51322788,0.566601901,0,0.33805156,0,0,0,0.361196425,0,0.53949579
3400,0.469855178,0.569384508,0,0.440543011,0.198133076,0,0,0.323322665,0,0.536064508
3600,0.320491437,0.53912978,0,0.383223504,0.156915276,0,0,0.401420396,0,0.535131278
3800,0.493904764,0.475164445,0,0.469971236,0.211921768,0,0,0.345356916,0,0.533696958
4000,0.410589008,0.564893058,0,0.325525217,0.189537083,0,0,0.252627856,0,0.52812419
4200,0.304938916,0.513288681,0,0.469942431,0.351063611,0,0,0.240692417,0,0.525322407
4400,0.390275996,0.535315752,0,0.190645206,0.190645206,0,0,0,0.190645206,0.521864329
4600,0.56817176,0.609506544,0,0.336706119,0.235381556,0,0,0.241426574,0,0.521080148
4800,0.477572691,0.544803461,0,0.373916453,0.212844315,0,0,0.303591119,0,0.519507526
5000,0.54956166,0.520360235,0.217682305,0.431761529,0.211617537,0,0,0.417038033,0,0.51318837
5200,0.390096025,0.561584352,0.19979576,0.558828576,0,0,0,0.374520451,0,0.512971909
5400,0.499727672,0.561003902,0,0.38464937,0,0,0,0.236861183,0.241155088,0.510523131
5600,0.474568803,0.573618619,0,0.390676781,0,0,0,0.331714319,0,0.511992055
5800,0.445164496,0.519146553,0.16951359,0.473913796,0,0,0,0.331141748,0.16902578,0.511562372
6000,0.264481124,0.579118281,0.165737907,0.403606092,0,0,0,0.278596568,0.166698715,0.509161091
6200,0.361916574,0.502901418,0.204458501,0.533380291,0,0,0,0,0,0.505586634
6400,0.488195313,0.628017059,0,0.362585818,0,0,0,0.259368234,0,0.501205311
6600,0.529666356,0.619028853,0.204458501,0.402043958,0,0,0,0.28753712,0,0.499222126
6800,0.381449174,0.552318347,0.187407385,0.36942147,0,0,0,0,0,0.495895543
7000,0.457183107,0.533162541,0,0.284288009,0,0,0,0.201021979,0,0.491646312
7200,0.386279636,0.574314336,0,0.36201007,0,0,0,0,0,0.493054834
7400,0.391351436,0.515816377,0.166219005,0.367355023,0,0,0,0.279455111,0,0.492910721
7600,0.402615647,0.543422064,0.198688849,0.522736267,0,0,0,0.330407258,0.200346921,0.491725804
7800,0.58517937,0.529314656,0,0.505512932,0,0,0,0.235412477,0.172020427,0.489775978
8000,0.417349168,0.570207517,0,0.496627973,0,0,0,0,0.290749926,0.487303574
8200,0.327982046,0.563826214,0,0.494414637,0.190065778,0,0,0,0,0.486322661
8400,0.337694888,0.54575842,0,0.435364608,0,0,0,0,0,0.484521172
8600,0.475429826,0.487210054,0.185485207,0.490747729,0.184966366,0,0,0.259368234,0,0.483260117
8800,0.347867679,0.531376657,0.193923015,0.60980288,0.194463944,0,0,0.191744035,0,0.483072967
9000,0.54991821,0.588385857,0,0.45380598,0.245373865,0,0,0.403953298,0,0.480565589
9200,0.511084242,0.573298517,0,0.479655952,0,0,0,0.359391167,0,0.485791855
9400,0.533037723,0.564800511,0,0.402938644,0,0,0,0.304030005,0,0.491303248
9600,0.348955102,0.493497037,0,0.476763433,0,0,0,0.176579766,0,0.507366772
9800,0.479205423,0.50202473,0,0.61230623,0,0,0,0.217083452,0,0.517187396
10000,0.417298537,0.530098346,0,0.482452804,0,0,0,0.181292909,0,0.526883084
10200,0.44795358,0.522796367,0.375860279,0.501785851,0.089847792,0.110040623,0.400373927,0.430894872,0.15562094,0.536069457
10400,0.547348302,0.439043919,0,0,0.125667616,0.265708662,0,0,0.42561431,0.542131153
10600,0.604796402,0.609577476,0,0.578295971,0.144573993,0.338027062,0,0,0.477069836,0.549306171
10800,0.592803485,0.545922385,0,0.580660543,0.126710518,0.438938112,0,0,0.399439712,0.559395548
11000,0.62386079,0.546525503,0.249942268,0.576088463,0.110660574,0.52211237,0.249942268,0.177237252,0.406265411,0.56650534
11200,0.613497317,0.648866577,0,0.615299075,0.700021888,0.530261465,0,0,0.296658485,0.572773315
11400,0.627627456,0.716276387,0,0.724279723,0.69999525,0.499800492,0,0,0.406512803,0.581379516
11600,0.495735131,0.528169696,0,0.476763433,0.548392348,0.500734266,0,0,0.24823946,0.590097595
11800,0.622136297,0.713761255,0.19979576,0.653430882,0.747714772,0.572282158,0,0,0.390660972,0.59876385
12000,0.578864219,0.512292147,0.310376116,0.531743689,0.61991281,0.473191198,0.309536125,0,0.375999569,0.605232885
12200,0.633552593,0.547574196,0,0.560613503,0.641735927,0.448437101,0,0,0,0.611853379
12400,0.636052546,0.530323646,0,0.578295971,0.568576019,0.403197602,0,0,0.284288009,0.617939934
12600,0.565359476,0.574608328,0,0.594542835,0.628569683,0.439443511,0,0,0.313400776,0.623468211
12800,0.618465844,0.643200041,0.235747583,0.575915203,0.615334351,0.458715141,0.235747583,0,0.520052445,0.629718982
13000,0.591891289,0.569270608,0,0.55410418,0.596371984,0.42295936,0,0,0.346371159,0.635566175
13200,0.71622273,0.716782937,0,0.563826214,0.695177835,0.416654166,0,0,0.419055652,0.640905645
13400,0.585560719,0.626557505,0.354474504,0.608742497,0.62994738,0.516473288,0.306983925,0,0.244921395,0.645980751
13600,0.531198768,0.436391062,0.289950062,0.406638895,0.446908017,0.349179366,0.289950062,0,0.203889769,0.651421531
