Unnamed: 0,OOB,UOB,VFC-SMOTE,ROSE,KUE,LB,ARF,ARFR,CALMID,LEPID
200,0.619538639,0.65834593,0.218604347,0.40024639,0,0.438539899,0.354672258,0.547078193,0.438539899,0.772362946
400,0.622136297,0.688285874,0.370616198,0.589298792,0,0.257924083,0.298726214,0.573581324,0.257924083,0.766066497
600,0.693481087,0.669617711,0.258088285,0.619945536,0,0.142364084,0.276706042,0.665306621,0.199460311,0.751441361
800,0.639314793,0.658666538,0.40947378,0.688060968,0,0,0.462609006,0.657674282,0.276331935,0.753668086
1000,0.683725414,0.683563298,0.267097319,0.672447707,0,0.132329594,0.390656815,0.638894713,0.228475107,0.746346565
1200,0.674164413,0.674499235,0.410117041,0.659862971,0.514627444,0.133130868,0.365598824,0.629480813,0.188874131,0.738685752
1400,0.679811427,0.685467283,0.16282147,0.606770548,0.622533447,0,0.261958398,0.633092498,0,0.73972545
1600,0.650011246,0.660045089,0.308953453,0.631883151,0.571205024,0,0.382716259,0.632254519,0.137034402,0.738288832
1800,0.70338083,0.724493147,0.367109161,0.683563298,0.618355151,0.225545818,0.448133625,0.683563298,0.187142306,0.73369399
2000,0.65387719,0.656618826,0.349980468,0.65529098,0.648023203,0.444165512,0.361456768,0.626061485,0.259813422,0.726356888
2200,0.683581308,0.691364269,0.2656125,0.707649375,0.261876673,0.32817962,0.456617741,0.672465424,0.134834872,0.724388639
2400,0.680331951,0.643067792,0.42101051,0.673308981,0.404954919,0.423014827,0.371008546,0.6375,0.121877109,0.716062439
2600,0.716276963,0.710614606,0.416051629,0.734483946,0.427460619,0.367664819,0.456974623,0.694917029,0.354906217,0.716031139
2800,0.655405622,0.671678288,0.327894619,0.699160884,0.39804897,0.520008997,0.506980993,0.654868184,0.266249064,0.716433018
3000,0.697165101,0.680121824,0.24505499,0.697165101,0.426385304,0.438623424,0.374059313,0.68877972,0.232800623,0.710318557
3200,0.684664064,0.689813702,0.426723004,0.708965492,0.36204773,0.428359736,0.48264781,0.653942229,0.500240827,0.710464963
3400,0.658033208,0.653709095,0.311968039,0.668521096,0.37628317,0.441337231,0.515597339,0.683560152,0.543487316,0.704937095
3600,0.657281742,0.649533553,0.254745382,0.646593522,0.379529605,0.453024213,0.442692322,0.646593522,0.378236486,0.702997265
3800,0.743952571,0.727836164,0.335930714,0.751642208,0.360528109,0.527759112,0.451945903,0.727836164,0.444596699,0.697935661
4000,0.737574945,0.734457099,0.32564294,0.716959986,0.349840651,0.467727923,0.435430999,0.713537722,0.526410409,0.692647563
4200,0.643661945,0.628269421,0.365053441,0.665847034,0.326861154,0.475164445,0.494167615,0.64292563,0.554967371,0.685253532
4400,0.706977219,0.709892601,0.351830875,0.719873083,0.301144516,0.533872167,0.535802995,0.693571049,0.639484956,0.680636471
4600,0.700992579,0.704087484,0.338747693,0.697883949,0.368145399,0.561733491,0.584418903,0.697883949,0.643586152,0.67814735
4800,0.638737144,0.64984645,0.313030743,0.662995428,0.275293867,0.577461287,0.411408548,0.657255099,0.517067387,0.6741317
5000,0.676756415,0.652924689,0.385576226,0.666360607,0.398794613,0.554507361,0.494166214,0.671984003,0.509362724,0.672582273
5200,0.731516321,0.713451402,0.264499876,0.72554466,0.555777088,0.663968735,0.575463971,0.737439627,0.68273643,0.670409106
5400,0.724453045,0.713543479,0.226887913,0.704289351,0.499104343,0.553739575,0.495279732,0.709199694,0.633127248,0.664681579
5600,0.69365214,0.674112444,0.33250262,0.6859691,0.437421914,0.582944369,0.535730246,0.662180307,0.485706673,0.664013196
5800,0.649879797,0.652660638,0.228872993,0.680908484,0.56343777,0.568628234,0.527429444,0.661237362,0.626483089,0.660364097
6000,0.688086548,0.69859045,0.260437877,0.684671705,0.483617011,0.609648982,0.601354051,0.685282747,0.637766667,0.65823274
6200,0.675088646,0.670084325,0.345349834,0.668207439,0.525642689,0.671207937,0.555203198,0.665646382,0.653305832,0.655067233
6400,0.69017882,0.701110087,0.349980468,0.710421385,0.510132519,0.612796663,0.634473934,0.719873083,0.580622817,0.653372042
6600,0.685497795,0.684831469,0.356938558,0.689301616,0.523537771,0.631219058,0.557998481,0.695774074,0.648985085,0.652731634
6800,0.702670678,0.691624773,0.2853343,0.723506352,0.529949427,0.631937857,0.616848091,0.696194312,0.685837017,0.653734174
7000,0.689917361,0.691767505,0.207367476,0.687442757,0.567234453,0.647615766,0.63873936,0.693428414,0.651551081,0.653616805
7200,0.68567014,0.685411543,0.312889324,0.684894056,0.56000563,0.6486006,0.598861534,0.685411543,0.635763953,0.652148809
7400,0.744453332,0.736177081,0.270621262,0.744453332,0.618325967,0.699766147,0.661600635,0.740933439,0.722172585,0.649822497
7600,0.743526753,0.737304662,0.24566237,0.725673179,0.599034868,0.726587701,0.704429346,0.730006956,0.727729238,0.646814605
7800,0.67107067,0.683690247,0.45047129,0.668495233,0.525719301,0.651065349,0.680599534,0.668495233,0.6748302,0.648082697
8000,0.696682041,0.698118614,0.518484392,0.69784258,0.554939996,0.713190017,0.705912932,0.691797658,0.696682041,0.647390089
8200,0.702647359,0.686304487,0.57078521,0.690804892,0.673787245,0.694577749,0.715807679,0.694523995,0.688639694,0.647348006
