Unnamed: 0,OOB,UOB,VFC-SMOTE,ROSE,KUE,LB,ARF,ARFR,CALMID,LEPID
200,0.569231943,0.660241268,0.354672258,0.262791335,0,0.220594716,0.218604347,0.613100577,0.220594716,0.758488385
400,0.593711076,0.67348304,0.298726214,0.491122274,0,0.152212166,0.370616198,0.618511751,0.152212166,0.756551173
600,0.680713503,0.690369495,0.276706042,0.66844739,0,0,0.258088285,0.677464255,0,0.746275571
800,0.607706188,0.619769251,0.462609006,0.651625454,0,0,0.40947378,0.638971328,0.130742132,0.734526694
1000,0.692279046,0.697165101,0.390656815,0.67834306,0,0,0.267097319,0.661162679,0.136108931,0.733206855
1200,0.69499955,0.658352582,0.365598824,0.660804555,0.488136916,0,0.410117041,0.660804555,0,0.72836969
1400,0.700435635,0.678429331,0.261958398,0.644383337,0.534369159,0,0.16282147,0.607647258,0,0.734776949
1600,0.66068935,0.662261871,0.382716259,0.67398423,0.449353081,0,0.308953453,0.607218951,0.141666667,0.737537981
1800,0.69633378,0.699113567,0.448133625,0.693542852,0.539685954,0.367109161,0.367109161,0.65795252,0.132329594,0.739420129
2000,0.65875,0.677338542,0.361456768,0.685127155,0.595947906,0.351107622,0.349980468,0.674164413,0,0.735815858
2200,0.640741758,0.658191968,0.456617741,0.694022094,0.340832315,0.217523945,0.2656125,0.613867521,0,0.73860307
2400,0.670564816,0.643893746,0.371008546,0.689457663,0.304568886,0.21912152,0.42101051,0.641182602,0.131157848,0.730619109
2600,0.722671111,0.722671111,0.456974623,0.73227759,0.389180663,0,0.416051629,0.717257768,0.209313913,0.733250819
2800,0.61725672,0.587128255,0.506980993,0.678452714,0.328917693,0.210594132,0.327894619,0.63644506,0.148007287,0.732935877
3000,0.68220422,0.669617711,0.374059313,0.666996888,0.343295715,0.347641404,0.24505499,0.62024817,0.241972415,0.726464148
3200,0.703224683,0.741129212,0.48264781,0.703224683,0.138447224,0.395241972,0.426723004,0.722384131,0.449020656,0.727281237
3400,0.595255829,0.606770548,0.515597339,0.595255829,0.219933261,0.156915276,0.311968039,0.59988824,0.307262369,0.722254242
3600,0.73404829,0.706565113,0.442692322,0.716423138,0.295044661,0.147522331,0.254745382,0.640379016,0.413468583,0.717563373
3800,0.735938486,0.713288779,0.451945903,0.722052382,0.279478279,0.366296925,0.335930714,0.713288779,0.576263184,0.713402813
4000,0.693791942,0.651776122,0.435430999,0.698952022,0.164286161,0.230956857,0.32564294,0.634392293,0.32662232,0.710706426
4200,0.670402432,0.696371267,0.494167615,0.727716999,0.450010046,0.129065882,0.365053441,0.680716921,0.506039474,0.705628762
4400,0.68701005,0.677133381,0.535802995,0.675031565,0.378216104,0.309833025,0.351830875,0.68363104,0.562222154,0.705904753
4600,0.657114906,0.6508328,0.584418903,0.691465834,0.261581727,0.152424845,0.338747693,0.662268827,0.383101379,0.705508382
4800,0.659844254,0.646593522,0.411408548,0.641691814,0.287655401,0.130325091,0.313030743,0.652126512,0.499107099,0.703071292
5000,0.734762345,0.732170583,0.494166214,0.740715532,0.292366439,0.207367476,0.385576226,0.748900482,0.541305555,0.701427049
5200,0.605475494,0.575665136,0.575463971,0.656359242,0.131814188,0.192487096,0.264499876,0.591634224,0.428538779,0.697314719
5400,0.610359781,0.614782736,0.495279732,0.681492503,0.394271976,0,0.226887913,0.640150739,0.45650421,0.694159582
5600,0.640919732,0.668964425,0.535730246,0.670278956,0.273210998,0.136175245,0.33250262,0.663503399,0.41252818,0.695783922
5800,0.696319425,0.657751928,0.527429444,0.654709862,0.321695607,0,0.228872993,0.672162224,0.417608131,0.693618935
6000,0.663153807,0.652709787,0.601354051,0.678028281,0.321047956,0.227015187,0.260437877,0.642095913,0.343399176,0.692680748
6200,0.742210379,0.669971736,0.555203198,0.692001646,0.226510709,0,0.345349834,0.722960816,0.414998599,0.69101892
6400,0.658407169,0.669290669,0.584570759,0.688578699,0.133976153,0,0.349980468,0.663020432,0.340829067,0.689991372
6600,0.68672203,0.650232473,0.643719659,0.663632301,0.2125,0,0.356938558,0.654968988,0.423098424,0.687328633
6800,0.717362136,0.737337893,0.55663003,0.743905965,0,0.353830161,0.2853343,0.717362136,0.464159754,0.687826288
7000,0.6631095,0.655253534,0.540779534,0.675741292,0.147522331,0.255516172,0.207367476,0.680959449,0.570432957,0.686651199
7200,0.685863105,0.668697998,0.573069883,0.703653238,0.140800196,0,0.312889324,0.680129561,0.532831319,0.687525791
7400,0.691989814,0.685172014,0.670310316,0.699160884,0.192580877,0.235862442,0.270621262,0.695795469,0.509060213,0.685587651
7600,0.675925292,0.669925369,0.663343361,0.673300329,0.216871698,0.216871698,0.264007576,0.68890009,0.581148289,0.685790796
7800,0.695626771,0.663591837,0.60225132,0.733566162,0.137461969,0.195003374,0.235862442,0.72576504,0.465715405,0.685534526
8000,0.638773048,0.616051257,0.646178922,0.675595501,0.196404845,0.338063629,0.390362254,0.66288612,0.494839896,0.682691674
8200,0.722213692,0.638907597,0.65204824,0.722213692,0.166219005,0.23370644,0.165255409,0.661021635,0.456348286,0.682540511
8400,0.638021145,0.628241142,0.637503867,0.672051754,0.31009434,0.1555163,0.15504717,0.66255424,0.391125851,0.681482196
8600,0.709286507,0.722695757,0.681281348,0.723757765,0.143115086,0.288901117,0.203026795,0.73464195,0.527054214,0.679744424
8800,0.722026422,0.742513507,0.659502361,0.733671931,0.275790731,0.160167259,0.158756066,0.707438527,0.558608262,0.677930285
9000,0.657551538,0.598171818,0.706621495,0.678803059,0.244287992,0.141039738,0.200710858,0.624770087,0.477700118,0.677028826
9200,0.662884006,0.655226526,0.685731058,0.683285193,0.192580877,0.301592454,0.231340698,0.665710816,0.40967328,0.675000837
9400,0.683946879,0.662268827,0.743489407,0.70415434,0.266411336,0,0.213580586,0.667382949,0.441672956,0.674305839
9600,0.63755285,0.625603009,0.726846532,0.661981896,0.191463051,0,0.195181127,0.596990948,0.231407816,0.674283068
9800,0.693345329,0.653612444,0.700766879,0.725117901,0.136175245,0.274923936,0.137461969,0.717470309,0.430623933,0.675927685
10000,0.704782768,0.689358959,0.708860348,0.721181834,0.255568562,0,0.330954354,0.717257768,0.437158668,0.67886374
10200,0.663477452,0.682837419,0.689006512,0.620292926,0.170178376,0.639989651,0.481623558,0.659098015,0.551315905,0.681712649
10400,0.715638147,0.694550873,0.749372067,0.681208276,0.199121547,0.699991531,0.665947275,0.688623128,0.698766698,0.684914435
10600,0.669375,0.657377603,0.730548604,0.619902966,0.209826938,0.669375,0.555759616,0.596326646,0.658064159,0.689193593
10800,0.699295546,0.691889916,0.758415569,0.641206478,0.173749887,0.671861428,0.550316832,0.630467135,0.748767848,0.691145988
11000,0.671700405,0.710762862,0.679227548,0.659596704,0.213840708,0.695275974,0.587575742,0.649449737,0.733009014,0.695474071
11200,0.619913033,0.645506946,0.68699028,0.572460343,0.639229582,0.636017352,0.47614004,0.5706686,0.677722088,0.696495218
11400,0.696271766,0.709443719,0.68699028,0.640198832,0.720033669,0.68659143,0.657361247,0.640198832,0.74505382,0.700175342
11600,0.650795269,0.663323438,0.736273732,0.623585716,0.688648123,0.65924751,0.548772209,0.587619291,0.667701858,0.703887507
11800,0.729571173,0.741233911,0.730514426,0.677722088,0.70657412,0.722872866,0.586379025,0.615977038,0.722430011,0.708036263
12000,0.70623859,0.748646025,0.698251939,0.729400078,0.811122059,0.751848392,0.659369817,0.729400078,0.745300966,0.71211548
12200,0.693154024,0.746023311,0.749069102,0.657119959,0.705423189,0.695430398,0.632343731,0.659263913,0.722109269,0.714125
12400,0.720918394,0.701459733,0.352899718,0.599519849,0.674357408,0.674357408,0.603036124,0.574972384,0.718782335,0.716946833
12600,0.752567733,0.778259997,0.354630282,0.738499806,0.724158639,0.766377467,0.683553589,0.698916262,0.750212273,0.719361901
12800,0.8017958,0.774095859,0.435169823,0.773103003,0.773103003,0.775500227,0.750587119,0.734293366,0.8017958,0.721816951
13000,0.728670048,0.731322835,0.343379999,0.689951548,0.715996559,0.715996559,0.648926989,0.624033366,0.73636071,0.725029282
13200,0.693723817,0.697456596,0.359859958,0.669375,0.681658135,0.693723817,0.604225356,0.608321846,0.726240319,0.727043432
13400,0.683485302,0.726380945,0.368263939,0.655789238,0.689943574,0.701054492,0.606494259,0.588385857,0.701054492,0.730206975
13600,0.733543226,0.755387845,0.368736758,0.746275474,0.743661541,0.743661541,0.683091929,0.687852209,0.753644022,0.7338211
13800,0.684522428,0.676897487,0.451486573,0.605541022,0.647350582,0.647350582,0.609222157,0.607384378,0.665236225,0.736431844
14000,0.716897545,0.721304241,0.36484191,0.706757506,0.683285193,0.71926746,0.670016256,0.632625669,0.714519768,0.739452058
14200,0.729033802,0.699883104,0.394048376,0.724362744,0.702099098,0.724362744,0.684926611,0.652138238,0.724362744,0.742578581
14400,0.711642301,0.729236342,0.411961196,0.716132203,0.734511716,0.732227071,0.682805264,0.669662807,0.732227071,0.744892597
14600,0.751587202,0.75610128,0.428866901,0.734307025,0.75384762,0.71661028,0.700565955,0.662669052,0.751587202,0.747256298
14800,0.767680489,0.761008103,0.416413257,0.732939288,0.739864852,0.735255058,0.724287006,0.710563157,0.765277727,0.749146417
15000,0.703430093,0.730927892,0.391082136,0.705681076,0.660143373,0.674301615,0.641388772,0.592315748,0.703430093,0.75066476
15200,0.719618414,0.74758639,0.416311906,0.750212273,0.694588565,0.707306914,0.647707177,0.541910704,0.719618414,0.753064798
15400,0.736643111,0.764025484,0.448498125,0.738985384,0.696722102,0.696722102,0.651723849,0.607185885,0.738985384,0.755484733
15600,0.696722102,0.70657412,0.383395,0.682052625,0.659921956,0.684207615,0.642027098,0.610969011,0.694513785,0.7571712
15800,0.716389138,0.719476138,0.413145595,0.716389138,0.703480169,0.690329847,0.63708292,0.56365196,0.716389138,0.759371953
16000,0.700838706,0.702799597,0.359545711,0.687228892,0.629855683,0.659166797,0.634013192,0.586982157,0.714189214,0.761319477
16200,0.773094442,0.743725628,0.379153338,0.737879295,0.714448554,0.761503165,0.747045849,0.65668996,0.77788145,0.763420479
16400,0.738523302,0.743303437,0.398696263,0.717507259,0.671192968,0.717507259,0.656251984,0.584914524,0.745682014,0.765309458
16600,0.686773623,0.710148756,0.443695172,0.689137738,0.659166797,0.680367866,0.640394224,0.64893319,0.691493771,0.766933878
16800,0.789870737,0.769351107,0.402508459,0.769440728,0.696732482,0.757428063,0.712391347,0.664308357,0.783560084,0.768684823
17000,0.781579597,0.76648005,0.473038117,0.753148945,0.699511735,0.758023747,0.701735942,0.685601925,0.784113087,0.77072895
17200,0.725589983,0.725825679,0.483752064,0.727826013,0.671984003,0.688454486,0.652614388,0.613016268,0.708413821,0.772302203
