Unnamed: 0,OOB,UOB,VFC-SMOTE,ROSE,KUE,LB,ARF,ARFR,CALMID,LEPID
200,0.658767628,0,0.601482727,0.623783219,0,0.62964439,0.601482727,0.629685305,0.62964439,0.689244756
400,0.763333333,0,0.78779169,0.718261282,0,0.787328767,0.78779169,0.752179496,0.787328767,0.775401618
600,0.734888571,0.623084926,0.649280575,0.754028637,0,0.744031374,0.649280575,0.687758041,0.757375491,0.799505164
800,0.726304375,0.660470589,0.761774696,0.722182255,0,0.763628041,0.761774696,0.697244394,0.734666666,0.817175843
1000,0.739977892,0.727759426,0.75222068,0.763313682,0,0.802427184,0.75222068,0.769665907,0.780573248,0.822302872
1200,0.774422442,0,0.69821468,0.71969697,0.65515208,0.791820452,0.69821468,0.687766625,0.803897239,0.827279234
1400,0.810107095,0,0.822815173,0.756385869,0.756122449,0.756263657,0.822815173,0.739986996,0.817963863,0.837163723
1600,0.803743024,0,0.8430707,0.753935058,0.766575078,0.72950243,0.8430707,0.737821061,0.861386501,0.841782777
1800,0.702824375,0,0.787328767,0.788809194,0.701998694,0.746698258,0.787328767,0.783260202,0.770910673,0.846940053
2000,0.724042655,0.735504526,0.844600591,0.828560994,0.76,0.779,0.844600591,0.787467921,0.808314691,0.849822288
2200,0.821384616,0.757913414,0.700690608,0.761943253,0.668200438,0.714349204,0.700690608,0.758853119,0.777753675,0.850474326
2400,0.745326483,0.731129927,0.681095835,0.745077949,0.588706952,0.65337219,0.681095835,0.705649458,0.720610556,0.854622885
2600,0.749300192,0.633711714,0.742998257,0.733814535,0.769127124,0.758357348,0.742998257,0.765789474,0.747805122,0.856381911
2800,0.792145015,0.723187647,0.72124183,0.728333334,0.682111385,0.704901961,0.72124183,0.80197881,0.774074074,0.861044261
3000,0.731441717,0.633531684,0.714336787,0.698712238,0.639219331,0.714336787,0.714336787,0.662689021,0.709172782,0.863661024
